date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-06-28,1030,18851,1163089373.089967767878077329,0.012070945751423237,0.0001403974349529083865531605961,0.011,0.0001279412414143193,1578.276157,18.3569646201091917795391,11125.89122964,1190.5761068696381,0.000046700000000000085,0.0116310219467563,,24.94771357503645,99998897638.941709,130750,839,8987944.927286,104538.9847055004229670624018,10713.36105755,124.607337583888333960125065,0.484281,0.0056326829393970877203,8988509.927286,104545.5562329003402765624018,0.058993982933262835,0.05165756111404132,0.05926570583693346
2015-06-29,1450,19659,1159420584.860732302158481869,0.011463724340455669,0.000132914248845465416684000185,0.011,0.0001275376739599798,2900.826662,33.6331531847793204383116,413.06845661,1170.570618486002,0.000045175624196376546,0.0115943339963618,,42.07458261530012,99998894738.115038,253044,727,242087947.25710797,2806848.516992529308531169784,444513.50783234,5153.838075702536917364380612,1000,11.5943339963618,323161320.194108,3746840.281035707468941796274,0.05894145180437567,0.044573217850307455,0.05911536448496237
2015-06-30,1726,19963,1067695870.11229357891914586,0.011782607962892764,0.0001258038130465024966046787766,0.011,0.000117447847528297,3158.551934,33.724102359512691734218,728.87576326,1075.9932054826584,0.00004046579777907645,0.010677077048027,,29.88827129690177,99998891579.563097,268069,1116,137196071.840727,1464853.029730089657273595629,143934.58549348,1536.80065918971529545536396,2000,21.354154096054,160630997.410727,1715069.535655757717623985629,0.05921249267057056,0.04777381183922412,0.06014952283270848
2015-07-01,1242,19967,1089510704.891682529774115626,0.011851684090878676,0.0001291268013387906977119646197,0.011,0.0001198475089139328,2471.111688,26.9233254595366843751424,2853.58409708,1110.2149199607243,0.00004222258679134989,0.0108952280830848,,47.580928580013826,99998889108.451409,208503,626,35043259.881762005,381804.309186612324836359833,56044.64837342,610.619226864698440935926016,84.116976,0.9164736391793701275648,35083949.881762,382247.6360173129908722194176,0.05920448927595933,0.04245720151042015,0.060169001304546756
2015-07-02,1317,19692,1072670878.901633597707901199,0.011894986210394658,0.0001275954731995373318852950812,0.011,0.0001179951099033971,2056.452796,22.0592157886516596539356,956.75905567,1092.4696262618243,0.00004210775160724712,0.0107268281730361,,30.751521518079844,99998887051.998613,172884,761,104518359.621733,1121150.484589924280266153561,153568.65414564,1647.304565784688225530377604,40,0.429073126921444,116865745.804833,1253598.774562158037383663471,0.05813298899227527,0.03896990633780191,0.0602269823025187
2015-07-03,1269,19658,1090918634.422827481352704561,0.011670606370942808,0.0001273182397356891697052722231,0.011,0.0001200023882717451,2434.161712,26.5550198981490703494192,1388.96092633,1111.6724461643369,0.00004259999999999976,0.0109093080247041,,36.78784969986354,99998884617.8369,208572,3987,71995462.73928499,785420.6794039667667444903215,20040.58113872,218.628872636371726269052752,300,3.27279240741123,79901797.000085,871673.3152013052744497998485,0.05709644501268533,0.03835046903818729,0.06024682426630227
2015-07-04,573,19989,1049082275.915227396406287622,0.011244834474857811,0.00011796888413113647985305407,0.011,0.0001154003403379497,2454.466245,25.7496581837281301052615,11768.0807016,1076.2763492428471,0.00004027089421390975,0.0104909400307227,,37.568093206629825,99998882163.370655,218275,6061,8497467.403478999,89146.42094291911156592424258,1417.12793326,14.867004163692660755167002,700,7.34365802150589,8589212.403479,90108.9122360377761683642733,0.05628699790942524,0.03808110345728885,0.060014633103984374
2015-07-05,1091,19646,973730166.7783367842307955872,0.01171996475619814,0.0001141221122489041532024238932,0.011,0.00010711151960367914,3665.583057,35.69328831534269185893918,4152.5921161,1007.320714360632,0.00003589134774985391,0.00973741087306174,,24.330474159342437,99998878497.787597,312764,8683,24081074.110324,234487.3128768744846684234038,2782.99033863,27.0991203830015357474970162,700,6.816187611143218,24164705.110324,235301.6622855995110463634038,0.05651051997354721,0.04098407637499976,0.06085658579261424
2015-07-06,1396,20014,939043201.8672157475672801124,0.011698754165055333,0.0001098575913479629035805759625,0.011,0.00010329591405871518,3279.27778,30.7941814306849368293364,603.52446248,973.1926214813564,0.00003489117007597889,0.00939053764170138,,19.570878352158818,99998875218.509817,280310,9385,165691502.89004996,1555932.294799087140047567601,17745.78315291,166.6424446788715510730980158,500,4.69526882085069,166544174.89005,1563939.343311112314756433269,0.05651867820969413,0.04174435307130308,0.06106766061543381
2015-07-07,1194,19929,935298873.1362711862848347412,0.011729765999265248,0.0001097096058514292079294577762,0.011,0.0001028840357464348,2411.311456,22.5532230940810676724608,1630.0852755,970.2375377138228,0.000035100000000000026,0.0093530941587668,,20.232161260631187,99998872807.198361,205572,8086,61345792.339818,573772.9719984728401494164424,7603.8460722,71.11948828205569537576296,400,3.74123766350672,61484699.339818,575072.1822487846600370164424,0.05641680084644804,0.041685984635121645,0.061031618121002176
2015-07-08,1337,20083,899949674.5184550356312123644,0.011578747093800587,0.000104204074473325922470663517,0.011,0.00009899558302126658,2983.113665,26.8468251350347564005287,1209.87715498,933.662691048356,0.00003326087200467567,0.00899959845647878,,13.112919400510384,99998869824.084691,257637,9055,82652085.30706498,743835.5793542144453029874511,10066.88080703,90.5978849725030431384698234,600,5.399759073887268,91155605.707665,820363.8484260902022659558487,0.056435785277448816,0.042343877859219066,0.061272188409672315
2015-07-09,1303,19839,859241661.4718433379502984486,0.011862567818928148,0.0001019292799954443947291448682,0.011,0.00009451765394005539,3134.220906,26.93083699681771583054394,2462.29430574,893.4205749938172,0.00003186185213325541,0.00859251399455049,,7.216032025648087,99998866689.863777,264211,9687,40612069.181531005,348959.7727899578247711249729,4202.54353066,36.1104140999036762442330234,400,3.437005597820196,40710039.181531,349801.5813860038933138550002,0.05636533487519595,0.04332372490271123,0.06149895210795818
2015-07-10,1309,19713,848156088.0498370327685385804,0.012075269826991116,0.000102418301626501517189071899,0.011,0.00009329823134662327,4611.907805,39.11662194001704720978385,814.95972751,874.5452688939049,0.00002970196668614845,0.00848165739514757,,6.980113963497489,99998862077.955956,381930,10675,122704053.59002802,1040733.743546444891278488335,12702.01354147,107.7341270872736008089647279,310,2.6293137924957467,135593994.555228,1150061.806656948907887574996,0.05631022239665246,0.04334856180721847,0.06153074004513618
